學校名稱,地區,,,
國立政治大學,臺北市文山區,公立,一般大學,98.44%
國立臺灣大學,臺北市大安區,公立,一般大學,99.90%
國立臺灣師範大學,臺北市大安區,公立,一般大學,96.73%
國立臺灣科技大學,臺北市大安區,公立,科技大學,100.00%
國立臺北科技大學,臺北市大安區,公立,科技大學,100.00%
國立臺北藝術大學,臺北市北投區,公立,一般大學,97.81%
國立臺北教育大學,臺北市大安區,公立,一般大學,95.22%
國立臺北護理健康大學,臺北市北投區,公立,科技大學,94.78%
國立臺北商業大學,臺北市中正區,公立,科技大學,96.00%
國立臺灣戲曲學院,臺北市內湖區,公立,科技大學,90.97%
東吳大學,臺北市士林區,私立,一般大學,87.20%
中國文化大學,臺北市士林區,私立,一般大學,58.59%
世新大學,臺北市文山區,私立,一般大學,83.83%
銘傳大學,臺北市士林區,私立,一般大學,83.16%
實踐大學,臺北市中山區,私立,一般大學,67.97%
大同大學,臺北市中山區,私立,一般大學,72.93%
臺北醫學大學,臺北市信義區,私立,一般大學,95.97%
中國科技大學,臺北市文山區,私立,科技大學,60.13%
德明財經科技大學,臺北市內湖區,私立,科技大學,65.54%
康寧大學,臺北市內湖區,私立,一般大學,86.58%
中華科技大學,臺北市南港區,私立,科技大學,57.88%
臺北城市科技大學,臺北市北投區,私立,科技大學,70.77%
臺北市立大學,臺北市中正區,公立,一般大學,96.06%
國防醫學院,臺北市內湖區,軍校,軍警大學,暫無資料
警察專科學校,臺北市文山區,警校,軍警大學,暫無資料
